City_Index,X,Y,Order
25,-79.74413,-23.650114,0
57,-78.672035,-65.36101,1
68,-84.59744,-76.52395,2
72,-85.92964,-78.72547,3
62,-40.530933,-82.539185,4
58,-19.635687,-76.77005,5
54,-7.3738904,-65.651764,6
60,-3.765416,-74.69463,7
61,-12.670197,-82.54625,8
71,-9.991573,-90.58264,9
78,1.8725357,-88.24267,10
84,20.865944,-94.344696,11
77,14.679905,-82.57081,12
69,18.529175,-74.59629,13
55,13.943469,-55.716854,14
47,1.3148259,-51.96625,15
32,-7.9651423,-44.71732,16
36,-9.1328945,-48.11322,17
31,-15.017397,-47.582233,18
22,-40.204155,-40.224712,19
34,-57.383347,-48.272232,20
30,-60.302227,-46.199,21
33,-65.686966,-46.090015,22
19,-63.917793,-28.562958,23
17,-57.85306,-24.535479,24
11,-53.272392,-20.747292,25
13,-59.450848,-21.044691,26
7,-64.148224,-3.0518239,27
14,-77.869896,-0.35474876,28
23,-85.33242,-16.658585,29
29,-98.78555,-4.752793,30
10,-72.92649,15.9096775,31
16,-79.805,27.8751,32
37,-93.851006,54.18573,33
24,-69.85244,61.962215,34
15,-70.66815,44.143726,35
5,-54.646286,33.63599,36
0,-44.043507,11.261251,37
2,-44.94833,2.1455805,38
3,-44.010677,0.40705502,39
99,-37.338634,14.815985,40
1,-39.85098,22.115072,41
4,-41.302998,32.596916,42
8,-42.52884,49.52845,43
6,-38.606365,46.72006,44
9,-30.563692,51.28195,45
18,-26.038742,62.881386,46
39,-33.496746,84.90544,47
50,-39.99491,96.19241,48
52,-29.896069,96.91789,49
51,-5.222999,91.89046,50
45,-13.632162,84.46241,51
38,-14.3137665,79.88196,52
41,-6.70727,77.733376,53
48,2.7578027,81.15306,54
65,26.81417,95.399,55
80,42.97844,93.606575,56
92,79.366005,94.43069,57
96,85.960846,96.224754,58
95,85.345665,92.174355,59
91,81.34015,85.75032,60
83,64.583595,74.577324,61
67,53.342663,66.80041,62
66,54.662666,64.22182,63
40,27.8634,43.56733,64
43,24.21758,53.9984,65
44,21.593027,58.545788,66
46,14.250247,69.4661,67
26,6.3573575,55.80172,68
12,-4.451475,40.096672,69
21,16.596033,26.268648,70
35,30.214119,3.4708571,71
28,23.532242,-1.8196304,72
27,14.433152,-18.487553,73
20,-2.7140014,-22.753916,74
42,21.841496,-26.930416,75
53,32.68847,-34.254627,76
49,35.931942,-23.444206,77
63,50.162994,-26.482626,78
56,48.4382,-15.6229725,79
59,53.45222,-12.094861,80
79,74.67453,7.3113203,81
64,58.61099,35.443314,82
82,78.70094,44.768875,83
73,70.43091,29.820215,84
76,72.25044,20.111948,85
81,82.4024,16.681946,86
90,96.06784,10.717342,87
74,68.37662,-14.14107,88
93,94.142006,-38.312054,89
87,81.20425,-46.48601,90
97,92.798065,-71.223305,91
94,72.09213,-81.55046,92
98,75.98554,-96.234985,93
88,50.79158,-87.037895,94
89,50.200386,-87.19407,95
85,56.288525,-73.50353,96
86,64.96391,-67.43912,97
70,44.926422,-54.219482,98
75,40.55493,-62.761257,99
