X_Final,Y_Final
-44.043507,11.261251
-39.85098,22.115072
-44.94833,2.1455805
-44.010677,0.40705502
-41.302998,32.596916
-54.646286,33.63599
-38.606365,46.72006
-64.148224,-3.0518239
-42.52884,49.52845
-30.563692,51.28195
-72.92649,15.9096775
-53.272392,-20.747292
-4.451475,40.096672
-59.450848,-21.044691
-77.869896,-0.35474876
-70.66815,44.143726
-79.805,27.8751
-57.85306,-24.535479
-26.038742,62.881386
-63.917793,-28.562958
-2.7140014,-22.753916
16.596033,26.268648
-40.204155,-40.224712
-85.33242,-16.658585
-69.85244,61.962215
-79.74413,-23.650114
6.3573575,55.80172
14.433152,-18.487553
23.532242,-1.8196304
-98.78555,-4.752793
-60.302227,-46.199
-15.017397,-47.582233
-7.9651423,-44.71732
-65.686966,-46.090015
-57.383347,-48.272232
30.214119,3.4708571
-9.1328945,-48.11322
-93.851006,54.18573
-14.3137665,79.88196
-33.496746,84.90544
27.8634,43.56733
-6.70727,77.733376
21.841496,-26.930416
24.21758,53.9984
21.593027,58.545788
-13.632162,84.46241
14.250247,69.4661
1.3148259,-51.96625
2.7578027,81.15306
35.931942,-23.444206
-39.99491,96.19241
-5.222999,91.89046
-29.896069,96.91789
32.68847,-34.254627
-7.3738904,-65.651764
13.943469,-55.716854
48.4382,-15.6229725
-78.672035,-65.36101
-19.635687,-76.77005
53.45222,-12.094861
-3.765416,-74.69463
-12.670197,-82.54625
-40.530933,-82.539185
50.162994,-26.482626
58.61099,35.443314
26.81417,95.399
54.662666,64.22182
53.342663,66.80041
-84.59744,-76.52395
18.529175,-74.59629
44.926422,-54.219482
-9.991573,-90.58264
-85.92964,-78.72547
70.43091,29.820215
68.37662,-14.14107
40.55493,-62.761257
72.25044,20.111948
14.679905,-82.57081
1.8725357,-88.24267
74.67453,7.3113203
42.97844,93.606575
82.4024,16.681946
78.70094,44.768875
64.583595,74.577324
20.865944,-94.344696
56.288525,-73.50353
64.96391,-67.43912
81.20425,-46.48601
50.79158,-87.037895
50.200386,-87.19407
96.06784,10.717342
81.34015,85.75032
79.366005,94.43069
94.142006,-38.312054
72.09213,-81.55046
85.345665,92.174355
85.960846,96.224754
92.798065,-71.223305
75.98554,-96.234985
-37.338634,14.815985
